brand,model,year,mileage,transmission,price
Honda,BR-V E 1.5,2018,66961.0,Automatic,184000000
Mitsubishi,XPANDER ULTIMATE 1.5,2019,28437.0,Automatic,222000000
Mitsubishi,XPANDER ULTIMATE 1.5,2018,54260.0,Automatic,213000000
Toyota,FORTUNER G 2.5,2014,95458.0,Automatic,274000000
Nissan,MARCH L 1.2,2016,89734.0,Automatic,112000000
Suzuki,SX4 S-CROSS 1.5,2018,93404.0,Automatic,184000000
Toyota,YARIS S TRD 1.5,2021,14736.0,Automatic,244000000
Toyota,SIENTA Q 1.5,2017,58365.0,Automatic,187000000
Toyota,CALYA G 1.2,2019,53807.0,Manual,121000000
Suzuki,KARIMUN GL 1.0,2015,67265.0,Automatic,86000000
Daihatsu,ROCKY R 1.0,2021,37472.0,Automatic,220000000
Datsun,CROSS 1.2,2018,48865.0,Automatic,112000000
Honda,BRIO SATYA S 1.2,2016,28625.0,Manual,112000000
Nissan,GRAND LIVINA SV 1.5,2013,109026.0,Automatic,95000000
Honda,BR-V PRESTIGE 1.5,2020,43749.0,Automatic,214000000
Mazda,2 GT SKYACTIV 1.5,2015,66182.0,Automatic,181000000
Mitsubishi,XPANDER ULTIMATE 1.5,2018,63203.0,Automatic,210000000
Wuling,ALMAZ LT LUX 1.5,2019,49088.0,Automatic,204000000
Nissan,X-TRAIL 2.5,2015,67756.0,Automatic,209000000
Mitsubishi,COLT L300 PICK UP 2.5,2022,1065.0,Manual,177000000
Suzuki,SX4 S-CROSS 1.5,2016,76606.0,Automatic,160000000
Honda,BRIO SATYA E 1.2,2017,64556.0,Automatic,132000000
Mitsubishi,PAJERO SPORT DAKAR 4X2 2.4,2016,28906.0,Automatic,404000000
Honda,FREED E 1.5,2010,170021.0,Automatic,129000000
Suzuki,SX4 S-CROSS 1.5,2022,10206.0,Automatic,241000000
Toyota,AVANZA G 1.3,2018,24873.0,Automatic,160000000
Mazda,CX-5 ELITE 2.5,2019,29440.0,Automatic,433000000
Toyota,SIENTA G 1.5,2017,70529.0,Automatic,163000000
Daihatsu,SIGRA M 1.0,2019,18826.0,Manual,109000000
Daihatsu,SIGRA R 1.2,2022,8817.0,Manual,136000000
Honda,BRIO SATYA E 1.2,2016,97829.0,Manual,118000000
Honda,BRIO SATYA E 1.2,2018,61043.0,Automatic,142000000
Mazda,2 R 1.5,2019,37929.0,Automatic,220000000
Toyota,AGYA G TRD SPORTIVO 1.2,2021,39599.0,Automatic,147000000
Nissan,GRAND LIVINA HIGHWAY STAR 1.5,2015,60480.0,Automatic,131000000
Nissan,X-TRAIL 2.0,2016,62427.0,Automatic,199000000
Honda,CR-V TURBO PRESTIGE 1.5,2018,84641.0,Automatic,382000000
Toyota,AVANZA G 1.3,2014,104117.0,Manual,122000000
Bmw,3 20I (CKD) 2.0,2019,47554.0,Automatic,446000000
Nissan,MARCH 1.5,2015,37414.0,Manual,113000000
Suzuki,CARRY PICK UP 1.5,2021,12191.0,Manual,118000000
Toyota,AGYA G 1.0,2015,57783.0,Automatic,100000000
Suzuki,IGNIS GX 1.2,2019,20613.0,Automatic,145000000
Daihatsu,SIGRA R STD 1.2,2019,40938.0,Manual,122000000
Toyota,KIJANG INNOVA REBORN G 2.0,2019,44322.0,Automatic,278000000
Nissan,MARCH 1.2,2016,72140.0,Manual,101000000
Honda,BRIO E 1.3,2012,88614.0,Manual,102000000
Daihatsu,SIGRA R STD 1.2,2018,12934.0,Manual,117000000
Mitsubishi,XPANDER ULTIMATE 1.5,2019,51777.0,Automatic,222000000
Toyota,AVANZA G 1.3,2011,66609.0,Manual,100000000
Honda,BRIO RS 1.2,2016,40559.0,Automatic,142000000
Honda,BRIO RS 1.2,2018,54763.0,Automatic,155000000
Honda,MOBILIO E 1.5,2017,93915.0,Automatic,159000000
Toyota,RUSH S TRD SPORTIVO 1.5,2019,39522.0,Automatic,224000000
Toyota,SIENTA Q 1.5,2017,66910.0,Automatic,191000000
Daihatsu,SIGRA R DLX 1.2,2017,58351.0,Automatic,121000000
Suzuki,XL7 ZETA GL 1.5,2020,35449.0,Automatic,192000000
Honda,BRIO SATYA E 1.2,2020,19331.0,Automatic,165000000
Toyota,RUSH S TRD SPORTIVO 1.5,2018,81269.0,Automatic,210000000
Suzuki,CARRY PICK UP 1.5,2022,14081.0,Manual,110000000
Suzuki,IGNIS GX 1.2,2017,81783.0,Automatic,131000000
Mazda,2 GT 1.5,2016,53270.0,Automatic,184000000
Suzuki,XL7 ALPHA 1.5,2020,52960.0,Automatic,218000000
Nissan,LIVINA VL 1.5,2019,39145.0,Automatic,202000000
Honda,FREED S 1.5,2013,91567.0,Automatic,158000000
Toyota,AGYA G 1.2,2018,60588.0,Automatic,122000000
Toyota,AVANZA VELOZ 1.5,2020,50137.0,Automatic,204000000
Toyota,RAIZE GR SPORT TSS 1.0,2021,32287.999999999996,Automatic,234000000
Toyota,AGYA G TRD 1.2,2019,26474.0,Automatic,136000000
Hyundai,STARGAZER PRIME 1.5,2022,2651.0,Automatic,246000000
Toyota,CALYA G 1.2,2017,34349.0,Manual,116000000
Daihatsu,XENIA R SPORTY 1.3,2017,90740.0,Manual,149000000
Mazda,CX-5,2016,72000.0,Automatic,295000000
Mazda,3 5 HB 6E,2016,55000.0,Automatic,340000000
Mazda,CX 5,2014,95000.0,Automatic,287000000
Hyundai,I-20,2010,100000.0,Automatic,85000000
Range Rover,RANGE ROVER 4.2L V8 AT,2007,95.0,Automatic,535000000
Range Rover,RANGE ROVER SPORT HSE,2014,43000.0,Automatic,1250000000
Jeep,GRAND CHEROKEE 5.7AT,2011,45000.0,Automatic,425000000
Jeep,JK WRANGLER SAHARA,2012,51000.0,Automatic,775000000
Chevrolet,TRAX,2017,42000.0,Automatic,205000000
Jaguar,XF 3.0 V6 AT,2011,75000.0,Automatic,289000000
Vw,TOUAREG 2.5L AT,2006,55000.0,Automatic,215000000
Mazda,BIANTE 2.0L,2015,55000.0,Automatic,192000000
Ford,MUSTANG 2.3L ECOBOOST,2016,80000.0,Automatic,1020000000
Porsche,MACAN,2015,40000.0,Automatic,890000000
Lexus,RX 300 LUXURY,2020,9000.0,Automatic,1290000000
Lexus,LX 570,2017,35000.0,Automatic,2400000000
Audi,Q7 3.0 TFSI AT,2011,120.0,Automatic,323000000
Bmw,320I SPORT,2020,12000.0,Automatic,815000000
Bmw,X7,2020,4000.0,Automatic,2275000000
Bmw,528 I AT,1997,160000.0,Automatic,650000000
Bmw,320I,2015,38000.0,Automatic,360000000
Bmw,320I,2014,42000.0,Automatic,338000000
Bmw,320I E90,2010,56000.0,Automatic,222000000
Bmw,520I G30,2018,40000.0,Automatic,779000000
Mercedes Benz,E 300 AT (CKD),2012,49000.0,Automatic,375000000
Mercedes Benz,R350 L AT,2007,90000.0,Automatic,285000000
Mercedes Benz,300 GE,1993,130000.0,Automatic,875000000
Mercedes Benz,S 350 L,2012,40000.0,Automatic,530000000
Mercedes Benz,SLK250,2012,35000.0,Automatic,675000000
Mercedes Benz,SLK 200 CGI,2012,30000.0,Automatic,555000000
Mercedes Benz,E 250,2017,75000.0,Automatic,588000000
Mercedes Benz,C 250 AT,2015,70000.0,Automatic,560000000
Mercedes Benz,C 200,2017,60000.0,Automatic,615000000
Datsun,GO PANCA,2014,49000.0,Automatic,125000000
Wuling,CONFERO 1.5,2021,50000.0,Automatic,108000000
Wuling,ALMAZ1.5S,2021,25000.0,Automatic,214999000
Nissan,NEW TERRAE2.5,2019,44000.0,Automatic,340000000
Nissan,LIVINA EL 1.5,2019,74000.0,Automatic,178000000
Nissan,SERENA2.0HWSTAR,2013,125000.0,Automatic,158000000
Nissan,JUKE 1.5,2018,95000.0,Automatic,178000000
Nissan,JUKE 1.5,2016,80000.0,Automatic,168000000
Nissan,JUKE 1.5,2014,145000.0,Automatic,135000000
Nissan,SERENA 2.0,2013,96000.0,Automatic,140000000
Nissan,JUKE 1.5 RX,2012,130000.0,Automatic,135000000
Nissan,X-TRAIL 2.5,2014,75000.0,Automatic,185000000
Nissan,X-TRAIL 2.5,2014,120000.0,Automatic,178000000
Nissan,GR LIVINA 1.5,2016,70000.0,Automatic,125000000
Nissan,SERENA2.0,2014,90000.0,Automatic,180000000
Suzuki,ARK415F GT,2019,25000.0,Automatic,189000000
Suzuki,ARK415F GX,2019,50000.0,Automatic,180000000
Suzuki,AVI414F,2013,100000.0,Manual,115000000
Suzuki,APV GC 415V,2009,110000.0,Automatic,85000000
Suzuki,GC415V APV,2010,110000.0,Automatic,90000000
Suzuki,ALL NEW BALENO,2017,100000.0,Automatic,163000000
Suzuki,ALL NEW BALENO,2019,20000.0,Automatic,175000000
Suzuki,BALENO NEXT-G,2003,112000.0,Automatic,62500000
Mitsubishi,OUTLANDER SPORT PX 2.0,2017,57000.0,Automatic,235000000
Mitsubishi,OUTL SP2.0L GLS4X2,2013,140000.0,Automatic,140000000
Mitsubishi,XPANDER15LSPORT,2018,60000.0,Automatic,205000000
Mitsubishi,XPANDER15LGLS,2019,30000.0,Automatic,175000000
Mitsubishi,XPANDER15LULT,2019,16000.0,Automatic,230000000
Mitsubishi,XPANDER ULTIMATE,2019,38000.0,Automatic,208000000
Mitsubishi,XPAND1.5LULT,2018,30000.0,Automatic,229000000
Mitsubishi,XPANDER15LSPORT,2019,55000.0,Automatic,210000000
Mitsubishi,XPANDER SPORT,2019,26000.0,Automatic,200000000
Mitsubishi,XPANDER15LSPORT,2019,30000.0,Automatic,195000000
Mitsubishi,XPANDER CROSS PREM,2020,16000.0,Automatic,275000000
Mitsubishi,MIRAGE EXCEED,2013,70000.0,Automatic,110000000
Daihatsu,GRAN MAX D 1.3,2017,178000.0,Automatic,107500000
Daihatsu,SIGRA X 1.2,2018,61000.0,Automatic,115000000
Daihatsu,GRAN MAX D 1.5,2019,80000.0,Manual,132500000
Daihatsu,SIGRA R DELUXE 1.2,2017,94000.0,Manual,109500000
Daihatsu,GRAN MAX D FRONT FACING 1.3,2018,138000.0,Manual,115000000
Daihatsu,AYLA1.0XAT(B100GQQFJ,2016,60.0,Automatic,103000000
Daihatsu,GRAN MAX D 1.5,2016,103000.0,Manual,107500000
Daihatsu,SIGRA X 1.2,2016,135000.0,Automatic,105000000
Daihatsu,TER15RF,2016,78000.0,Automatic,145000000
Daihatsu,TERIOS F700RG,2012,107000.0,Automatic,123000000
Daihatsu,GRAN MAX D FRONT FACING 1.3,2018,106000.0,Manual,115000000
Daihatsu,GREAT NEW XENIA R SPORTY 1.3,2017,67000.0,Manual,148000000
Daihatsu,AYLA1.0M,2018,17000.0,Automatic,95000000
Daihatsu,TERIOS F700RG,2013,120000.0,Automatic,120000000
Daihatsu,B401RS,2019,25000.0,Automatic,122000000
Daihatsu,XEN13XMT,2018,40000.0,Automatic,133000000
Daihatsu,LUXIO 1.5,2009,115000.0,Automatic,99000000
Daihatsu,F651RV,2013,70000.0,Manual,99000000
Daihatsu,XEN13RMT,2018,65000.0,Manual,135000000
Daihatsu,B100RS,2014,65000.0,Automatic,87000000
Daihatsu,TERI15,2019,75000.0,Automatic,189000000
Daihatsu,AYLA12X,2022,30000.0,Automatic,130000000
Daihatsu,TER15RF700R,2017,60000.0,Manual,161000000
Daihatsu,XEN15RMT,2020,30000.0,Manual,160000000
Daihatsu,B401RS,2017,50000.0,Manual,101000000
Daihatsu,AYLA12R,2018,30000.0,Automatic,110000000
Honda,JAZZ S CVT 1.5,2018,59000.0,Automatic,185500000
Honda,MOBILIO E CVT 1.5,2016,116000.0,Automatic,142000000
Honda,JAZZ GK5,2020,15000.0,Automatic,250000000
Honda,ACCORD CP2 2.4,2013,82000.0,Automatic,205000000
Honda,BRIO SATYA1.2,2016,30000.0,Automatic,127000000
Honda,JAZZ GK5 15RS,2014,93000.0,Automatic,178000000
Honda,CR-V 2.0,2018,60000.0,Automatic,323000000
Honda,CRV RE1 2WD2.4,2011,125000.0,Automatic,145000000
Honda,CRV RM3,2015,115000.0,Automatic,262000000
Honda,CRV RM1 2WD2.0,2012,63000.0,Automatic,185000000
Honda,BRIOSATYADD1 12E,2015,74000.0,Manual,110000000
Honda,HONDAHRVRU518,2017,70000.0,Automatic,269000000
Honda,JAZZ GK5 15RS,2016,55000.0,Manual,185000000
Honda,ACCORD CP2 2.4,2012,120000.0,Automatic,169000000
Honda,BRIO DD2 1.3,2012,98000.0,Automatic,102000000
Honda,H MOBDD4 1.5,2014,54000.0,Automatic,128000000
Honda,H MOBDD4 1.5,2016,70000.0,Automatic,137000000
Honda,HONDA BRV,2017,80000.0,Automatic,175000000
Honda,HONDAHRVRU518,2017,35000.0,Automatic,265000000
Honda,HONDAHRVRU115,2015,76000.0,Automatic,195000000
Honda,JAZZ GK5 15RS,2016,57000.0,Automatic,195000000
Honda,FREED GB3 1.5,2015,85000.0,Automatic,180000000
Honda,BRIO SATYA1.2,2019,50000.0,Automatic,150000000
Honda,H MOBDD4 1.5,2014,75000.0,Automatic,119000000
Honda,ONDA BR-V1.5,2017,65000.0,Automatic,170000000
Honda,BRIO SATYA1.2,2020,75000.0,Automatic,152000000
Honda,H MOBDD4 1.5,2014,70000.0,Automatic,127000000
Honda,FREED GB 3,2012,110000.0,Automatic,158000000
Honda,JAZZ GE8 1.5E,2013,80000.0,Automatic,143500000
Honda,ACCORD CR2 2.4,2017,70000.0,Automatic,305000000
Honda,JAZZ GE8 1.5S,2011,120000.0,Automatic,117000000
Honda,HONDAHRVRU115,2016,90000.0,Automatic,195000000
Honda,BRIO SATYA1.2,2019,30000.0,Automatic,145000000
Honda,HRV E CVT,2016,60000.0,Automatic,225000000
Honda,JAZZ RS,2013,70000.0,Automatic,180000000
Honda,CRV 2.0,2003,145000.0,Automatic,84500000
Honda,CRV 2.0,2004,160000.0,Automatic,83500000
Honda,CRV 2.0,2003,158000.0,Automatic,83500000
Honda,CITY GD8,2007,133000.0,Automatic,84500000
Honda,ACCORD,2004,140000.0,Automatic,83000000
Honda,CIVIC,1997,160000.0,Manual,78000000
Toyota,CALYA G 1.2,2017,144000.0,Automatic,117000000
Toyota,GRAND AVANZA G 1.3,2019,102000.0,Manual,170000000
Toyota,GRAND NEW AVANZA VELOZ 1.5,2017,85000.0,Automatic,165000000
Toyota,CALYA G 1.2,2008,103000.0,Automatic,122000000
Toyota,GRAND NEW AVANZA G 1.3,2018,122000.0,Manual,157500000
Toyota,GRAND NEW AVANZA G 1.3,2017,92000.0,Manual,150000000
Toyota,LC 100 4.7 AT,2004,145000.0,Automatic,475000000
Toyota,HARRIER 2.4L 2WD AT,2006,150000.0,Automatic,159000000
Toyota,ESTIMA 2.4 2WD AT,2007,115000.0,Automatic,145000000
Toyota,KIJANG INNOVA REBORN G 2.0,2018,98000.0,Automatic,260000000
Toyota,ALL NEW CALYA G 1.2,2021,56000.0,Automatic,147000000
Toyota,RUSH S TRD SPORTIVO 1.5,2017,43000.0,Automatic,177500000
Toyota,GRAND AVANZA G 1.3,2019,92000.0,Manual,172500000
Toyota,GRAND NEW AVANZA E 1.3,2018,134000.0,Automatic,142500000
Toyota,KIJANG INNOVA REBORN V 2.0,2019,83000.0,Automatic,300000000
Toyota,CALYA G 1.2,2018,51000.0,Automatic,122500000
Toyota,YARIS 1.5 S,2016,55.0,Automatic,175000000
Toyota,FORTUNER2.7SRZ,2018,98000.0,Automatic,385000000
Toyota,RUSH 1.5 G,2019,73000.0,Automatic,205000000
Toyota,INNOVA VENTURER2.0,2017,118500.0,Automatic,295000000
Toyota,CAMRY 2.5G,2017,78000.0,Automatic,240000000
Toyota,SIENTA 1.5,2018,95000.0,Automatic,180000000
Toyota,COROLA ALTIS 1.8V,2019,46000.0,Automatic,350000000
Toyota,KIJANG INNOVA REBORN G 2.0,2017,57000.0,Manual,232000000
Toyota,GRAND NEW AVANZA G 1.3,2018,142000.0,Manual,157500000
Toyota,NEW VIOS G 1.5,2016,114000.0,Automatic,152000000
Toyota,KIJANG INNOVA REBORN G 2.0,2018,40000.0,Automatic,260000000
Toyota,AVANZA G 2018,2018,57000.0,Manual,150000000
Toyota,AVANZA VELOZ,2017,40000.0,Automatic,155000000
Toyota,CALYA G,2021,33000.0,Automatic,139000000
Toyota,YARIS 1.5 S,2017,75000.0,Automatic,185000000
Toyota,AVANZA 1.5 VELOZ,2017,70000.0,Automatic,158000000
Toyota,KIJANG INNOVA2.0G,2019,45000.0,Automatic,285000000
Toyota,ALPHARD 2.4X,2012,65000.0,Automatic,248000000
Toyota,KIJANG INNOVA2.0,2017,39000.0,Automatic,288000000
Toyota,AVANZA 1500,2010,130000.0,Automatic,100000000
Toyota,AVANZA 1.5 VELOZ,2020,75000.0,Automatic,195000000
Toyota,RUSH 1.5 G,2018,80000.0,Automatic,195000000
Toyota,VIOS 1.5 G,2018,75000.0,Automatic,170500000
Toyota,CAMRY 2.5V,2018,75000.0,Automatic,300000000
Toyota,ALPHARD G,2017,45000.0,Automatic,800000000
Toyota,NEW AVANZ VELOZ1.5,2013,95000.0,Automatic,120000000
Toyota,COROLA ALTIS 1.8V,2020,16000.0,Automatic,399900000
Toyota,NEW AVANZA 1.3G,2012,185000.0,Automatic,113000000
Toyota,KIJANG INNOVA G,2013,128000.0,Automatic,159000000
Toyota,RUSH 1.5S,2021,17000.0,Automatic,250000000
Toyota,VIOS 1.5G,2012,120000.0,Automatic,110000000
Toyota,B401RAGMZFJ,2018,120000.0,Manual,109000000
Toyota,RUSH 1.5 S,2019,40000.0,Automatic,225000000
Toyota,RUSH 1.5S,2022,10000.0,Automatic,237000000
Toyota,AGYA 1.2 G,2019,40000.0,Manual,114000000
Toyota,RUSH 1.5S,2020,30000.0,Automatic,223000000
Toyota,CAMRY 2.5V AT,2017,90000.0,Automatic,263000000
Toyota,SIENTA 1.5,2016,70000.0,Automatic,170000000
Toyota,ETIOS 1.2 G,2013,90000.0,Manual,85000000
Toyota,B401RAGMQFJ(CAL12E,2017,70000.0,Manual,101000000
Toyota,ALPHARD 2.4X,2011,120000.0,Automatic,225000000
Toyota,VOXY20,2019,40000.0,Automatic,385000000
Toyota,ALPHARD 2.4X,2012,120000.0,Automatic,275000000
Toyota,VELLFIRE 2.5 G,2015,100000.0,Automatic,750000000
Toyota,COROLLA ALL NEW,1999,60000.0,Manual,66500000
Hyundai,PALISADE SIGNATURE,2021,26000.0,Automatic,735000000
Hyundai,TUCSON,2018,38000.0,Automatic,305000000
Hyundai,H1 ROYALE,2016,80000.0,Automatic,305000000
Isuzu,TBR 54F TURBO LV,2012,80000.0,Manual,138000000
Mitsubishi,PAJ SPO25 HPE4X2,2015,80000.0,Automatic,310000000
Mitsubishi,PAJ SPO24L,2019,70000.0,Automatic,448000000
Mitsubishi,PAJSPO24LDAKARK2W8,2019,70000.0,Automatic,450000000
Toyota,FORTUNER 2.5,2015,85000.0,Automatic,305000000
Toyota,VOXY20,2018,59000.0,Automatic,368000000
Toyota,KIJANG INNOVA 2.0 G,2012,90000.0,Automatic,155000000
Toyota,INNOVA G,2013,98000.0,Manual,220000000
Toyota,FORTUNER 2.5,2015,130000.0,Automatic,295000000
Toyota,K INNOVA G DIESEL,2012,120000.0,Manual,182000000
Toyota,K INNOVA G DIESEL,2013,120000.0,Automatic,196000000
